metric_key,metric_label,category,period,region_scope,region_name,value,unit,source_type,source_document,retrieval_date
rent_price_change_3y_pct,Mietwohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,KANTON,Aargau,13.1,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rent_price_change_3y_pct,Mietwohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,SCHWEIZ,Schweiz,11.4,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_price_change_3y_pct,Eigentumswohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,GEMEINDE,Wohlen (AG),-1.1,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_price_change_3y_pct,Eigentumswohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,MS_REGION,MS-Region Freiamt,15.2,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_price_change_3y_pct,Eigentumswohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,KANTON,Aargau,14.9,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_price_change_3y_pct,Eigentumswohnungen: Preisveränderung über 3 Jahre,PREISE,2026/2,SCHWEIZ,Schweiz,7.2,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_price_change_3y_pct,Einfamilienhäuser: Preisveränderung über 3 Jahre,PREISE,2026/2,GEMEINDE,Wohlen (AG),7.2,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_price_change_3y_pct,Einfamilienhäuser: Preisveränderung über 3 Jahre,PREISE,2026/2,MS_REGION,MS-Region Freiamt,7.3,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_price_change_3y_pct,Einfamilienhäuser: Preisveränderung über 3 Jahre,PREISE,2026/2,KANTON,Aargau,8.6,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_price_change_3y_pct,Einfamilienhäuser: Preisveränderung über 3 Jahre,PREISE,2026/2,SCHWEIZ,Schweiz,4.4,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index,Eigentumswohnungen: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Freiamt,228.3,INDEX_2000_100,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index,Eigentumswohnungen: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,223.4,INDEX_2000_100,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index,Eigentumswohnungen: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,269.6,INDEX_2000_100,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index_qoq_pct,Eigentumswohnungen: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Freiamt,1.6,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index_qoq_pct,Eigentumswohnungen: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,1.7,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index_qoq_pct,Eigentumswohnungen: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,1.0,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index_yoy_pct,Eigentumswohnungen: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Freiamt,5.9,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
